batch,frequency_band,freq_min_hz,freq_max_hz,classifier,mean_accuracy,std_accuracy
soft_finger_batch_1,low_mid,200,500,random_forest,0.9,0.035355339059327376
soft_finger_batch_1,low_mid,200,500,svm_rbf,0.8150000000000001,0.04062019202317979
soft_finger_batch_1,low_mid,200,500,logistic,0.8550000000000001,0.018708286933869722
soft_finger_batch_1,mid,500,1000,random_forest,0.705,0.05099019513592784
soft_finger_batch_1,mid,500,1000,svm_rbf,0.6100000000000001,0.040620192023179805
soft_finger_batch_1,mid,500,1000,logistic,0.665,0.03391164991562635
soft_finger_batch_1,high_mid,1000,2000,random_forest,0.805,0.043011626335213125
soft_finger_batch_1,high_mid,1000,2000,svm_rbf,0.695,0.03999999999999999
soft_finger_batch_1,high_mid,1000,2000,logistic,0.7550000000000001,0.0678232998312527
soft_finger_batch_1,high,2000,4000,random_forest,0.825,0.04183300132670378
soft_finger_batch_1,high,2000,4000,svm_rbf,0.6299999999999999,0.057879184513951125
soft_finger_batch_1,high,2000,4000,logistic,0.74,0.040620192023179805
soft_finger_batch_1,ultra_high,4000,8000,random_forest,0.865,0.062449979983983994
soft_finger_batch_1,ultra_high,4000,8000,svm_rbf,0.6300000000000001,0.03674234614174766
soft_finger_batch_1,ultra_high,4000,8000,logistic,0.74,0.07681145747868606
soft_finger_batch_1,extended,8000,20000,random_forest,0.96,0.04062019202317979
soft_finger_batch_1,extended,8000,20000,svm_rbf,0.8899999999999999,0.033911649915626334
soft_finger_batch_1,extended,8000,20000,logistic,0.865,0.060415229867972854
soft_finger_batch_1,proposed,200,2000,random_forest,0.725,0.022360679774997918
soft_finger_batch_1,proposed,200,2000,svm_rbf,0.66,0.04358898943540674
soft_finger_batch_1,proposed,200,2000,logistic,0.7150000000000001,0.06442049363362565
soft_finger_batch_1,high_combined,2000,20000,random_forest,0.9649999999999999,0.02549509756796391
soft_finger_batch_1,high_combined,2000,20000,svm_rbf,0.875,0.03872983346207416
soft_finger_batch_1,high_combined,2000,20000,logistic,0.89,0.06041522986797285
soft_finger_batch_1,mid_combined,200,4000,random_forest,0.8150000000000001,0.03391164991562633
soft_finger_batch_1,mid_combined,200,4000,svm_rbf,0.625,0.0651920240520265
soft_finger_batch_1,mid_combined,200,4000,logistic,0.6199999999999999,0.0748331477354788
soft_finger_batch_1,full,200,20000,random_forest,0.975,0.02738612787525829
soft_finger_batch_1,full,200,20000,svm_rbf,0.93,0.04301162633521313
soft_finger_batch_1,full,200,20000,logistic,0.925,0.05
soft_finger_batch_2,low_mid,200,500,random_forest,0.9400000000000001,0.0254950975679639
soft_finger_batch_2,low_mid,200,500,svm_rbf,0.75,0.01581138830084191
soft_finger_batch_2,low_mid,200,500,logistic,0.8099999999999999,0.051478150704934986
soft_finger_batch_2,mid,500,1000,random_forest,0.9450000000000001,0.018708286933869677
soft_finger_batch_2,mid,500,1000,svm_rbf,0.8949999999999999,0.03674234614174767
soft_finger_batch_2,mid,500,1000,logistic,0.905,0.018708286933869726
soft_finger_batch_2,high_mid,1000,2000,random_forest,0.9450000000000001,0.018708286933869677
soft_finger_batch_2,high_mid,1000,2000,svm_rbf,0.8450000000000001,0.024494897427831765
soft_finger_batch_2,high_mid,1000,2000,logistic,0.885,0.012247448713915901
soft_finger_batch_2,high,2000,4000,random_forest,0.9949999999999999,0.010000000000000009
soft_finger_batch_2,high,2000,4000,svm_rbf,0.8950000000000001,0.036742346141747706
soft_finger_batch_2,high,2000,4000,logistic,0.9,0.05244044240850758
soft_finger_batch_2,ultra_high,4000,8000,random_forest,0.99,0.012247448713915901
soft_finger_batch_2,ultra_high,4000,8000,svm_rbf,0.8699999999999999,0.06964194138592057
soft_finger_batch_2,ultra_high,4000,8000,logistic,0.8800000000000001,0.04301162633521314
soft_finger_batch_2,extended,8000,20000,random_forest,0.9949999999999999,0.010000000000000009
soft_finger_batch_2,extended,8000,20000,svm_rbf,0.9349999999999999,0.03391164991562633
soft_finger_batch_2,extended,8000,20000,logistic,0.95,0.02236067977499787
soft_finger_batch_2,proposed,200,2000,random_forest,0.985,0.020000000000000018
soft_finger_batch_2,proposed,200,2000,svm_rbf,0.9100000000000001,0.02549509756796391
soft_finger_batch_2,proposed,200,2000,logistic,0.915,0.012247448713915901
soft_finger_batch_2,high_combined,2000,20000,random_forest,0.985,0.012247448713915901
soft_finger_batch_2,high_combined,2000,20000,svm_rbf,0.9450000000000001,0.033166247903553984
soft_finger_batch_2,high_combined,2000,20000,logistic,0.9549999999999998,0.03316624790355399
soft_finger_batch_2,mid_combined,200,4000,random_forest,0.9850000000000001,0.012247448713915901
soft_finger_batch_2,mid_combined,200,4000,svm_rbf,0.9399999999999998,0.01999999999999997
soft_finger_batch_2,mid_combined,200,4000,logistic,0.9349999999999999,0.01999999999999997
soft_finger_batch_2,full,200,20000,random_forest,0.99,0.012247448713915901
soft_finger_batch_2,full,200,20000,svm_rbf,0.9100000000000001,0.046368092477478515
soft_finger_batch_2,full,200,20000,logistic,0.9400000000000001,0.0254950975679639
soft_finger_batch_3,low_mid,200,500,random_forest,0.6866666666666665,0.016329931618554516
soft_finger_batch_3,low_mid,200,500,svm_rbf,0.5199999999999999,0.06863753427324665
soft_finger_batch_3,low_mid,200,500,logistic,0.5399999999999999,0.06798692684790378
soft_finger_batch_3,mid,500,1000,random_forest,0.9066666666666666,0.04422166387140532
soft_finger_batch_3,mid,500,1000,svm_rbf,0.8466666666666667,0.04521553322083511
soft_finger_batch_3,mid,500,1000,logistic,0.8800000000000001,0.02666666666666666
soft_finger_batch_3,high_mid,1000,2000,random_forest,0.9466666666666667,0.01632993161855452
soft_finger_batch_3,high_mid,1000,2000,svm_rbf,0.8866666666666667,0.039999999999999994
soft_finger_batch_3,high_mid,1000,2000,logistic,0.9266666666666665,0.013333333333333329
soft_finger_batch_3,high,2000,4000,random_forest,0.9933333333333334,0.01333333333333333
soft_finger_batch_3,high,2000,4000,svm_rbf,0.8333333333333334,0.059628479399994376
soft_finger_batch_3,high,2000,4000,logistic,0.9266666666666665,0.05333333333333333
soft_finger_batch_3,ultra_high,4000,8000,random_forest,1.0,0.0
soft_finger_batch_3,ultra_high,4000,8000,svm_rbf,0.9133333333333333,0.04521553322083511
soft_finger_batch_3,ultra_high,4000,8000,logistic,0.9333333333333333,0.05577733510227169
soft_finger_batch_3,extended,8000,20000,random_forest,1.0,0.0
soft_finger_batch_3,extended,8000,20000,svm_rbf,0.9200000000000002,0.03399346342395189
soft_finger_batch_3,extended,8000,20000,logistic,0.9466666666666667,0.04521553322083511
soft_finger_batch_3,proposed,200,2000,random_forest,0.9666666666666668,0.04216370213557838
soft_finger_batch_3,proposed,200,2000,svm_rbf,0.9200000000000002,0.02666666666666666
soft_finger_batch_3,proposed,200,2000,logistic,0.9400000000000001,0.038873012632301994
soft_finger_batch_3,high_combined,2000,20000,random_forest,0.9933333333333334,0.01333333333333333
soft_finger_batch_3,high_combined,2000,20000,svm_rbf,0.8933333333333333,0.03265986323710903
soft_finger_batch_3,high_combined,2000,20000,logistic,0.9066666666666668,0.0573488351136175
soft_finger_batch_3,mid_combined,200,4000,random_forest,0.9933333333333334,0.01333333333333333
soft_finger_batch_3,mid_combined,200,4000,svm_rbf,0.9466666666666667,0.026666666666666658
soft_finger_batch_3,mid_combined,200,4000,logistic,0.9199999999999999,0.04521553322083511
soft_finger_batch_3,full,200,20000,random_forest,0.9866666666666667,0.01632993161855452
soft_finger_batch_3,full,200,20000,svm_rbf,0.9533333333333334,0.016329931618554516
soft_finger_batch_3,full,200,20000,logistic,0.9866666666666667,0.01632993161855452
soft_finger_batch_4,low_mid,200,500,random_forest,0.63,0.05999999999999998
soft_finger_batch_4,low_mid,200,500,svm_rbf,0.65,0.08366600265340754
soft_finger_batch_4,low_mid,200,500,logistic,0.7100000000000001,0.10198039027185568
soft_finger_batch_4,mid,500,1000,random_forest,0.6599999999999999,0.05830951894845301
soft_finger_batch_4,mid,500,1000,svm_rbf,0.6300000000000001,0.08717797887081347
soft_finger_batch_4,mid,500,1000,logistic,0.64,0.0969535971483266
soft_finger_batch_4,high_mid,1000,2000,random_forest,0.7,0.0632455532033676
soft_finger_batch_4,high_mid,1000,2000,svm_rbf,0.57,0.10770329614269006
soft_finger_batch_4,high_mid,1000,2000,logistic,0.52,0.06782329983125267
soft_finger_batch_4,high,2000,4000,random_forest,0.69,0.13190905958272922
soft_finger_batch_4,high,2000,4000,svm_rbf,0.6900000000000001,0.037416573867739396
soft_finger_batch_4,high,2000,4000,logistic,0.7,0.0632455532033676
soft_finger_batch_4,ultra_high,4000,8000,random_forest,0.78,0.06
soft_finger_batch_4,ultra_high,4000,8000,svm_rbf,0.6500000000000001,0.04472135954999579
soft_finger_batch_4,ultra_high,4000,8000,logistic,0.6699999999999999,0.06782329983125267
soft_finger_batch_4,extended,8000,20000,random_forest,0.7400000000000001,0.07348469228349534
soft_finger_batch_4,extended,8000,20000,svm_rbf,0.66,0.07348469228349536
soft_finger_batch_4,extended,8000,20000,logistic,0.66,0.09695359714832659
soft_finger_batch_4,proposed,200,2000,random_forest,0.66,0.10198039027185571
soft_finger_batch_4,proposed,200,2000,svm_rbf,0.71,0.15620499351813308
soft_finger_batch_4,proposed,200,2000,logistic,0.6799999999999999,0.08717797887081347
soft_finger_batch_4,high_combined,2000,20000,random_forest,0.78,0.05099019513592786
soft_finger_batch_4,high_combined,2000,20000,svm_rbf,0.6799999999999999,0.0812403840463596
soft_finger_batch_4,high_combined,2000,20000,logistic,0.74,0.09165151389911681
soft_finger_batch_4,mid_combined,200,4000,random_forest,0.64,0.12409673645990857
soft_finger_batch_4,mid_combined,200,4000,svm_rbf,0.6499999999999999,0.13038404810405296
soft_finger_batch_4,mid_combined,200,4000,logistic,0.68,0.10295630140987001
soft_finger_batch_4,full,200,20000,random_forest,0.75,0.1140175425099138
soft_finger_batch_4,full,200,20000,svm_rbf,0.7300000000000001,0.08717797887081348
soft_finger_batch_4,full,200,20000,logistic,0.6599999999999999,0.10198039027185568
