feature_name,rf_builtin,rf_permutation,rf_permutation_std,p_value,score_drop,is_significant
spectral_bandwidth,0.17644738064026522,0.005833333333333313,0.003818813079129853,0.25,0.006266666666666532,False
high_energy_ratio,0.13726468474447084,0.0,0.0,1.0,0.0,False
spectral_centroid,0.13604917591224608,0.0,0.0,1.0,0.0,False
ultra_high_energy_ratio,0.12285935396539091,0.0,0.0,1.0,0.0,False
ultra_high_ratio,0.08706071789430984,0.0,0.0,1.0,0.0,False
mid_energy_ratio,0.07608795576035411,0.0,0.0,1.0,0.0,False
low_mid_ratio,0.06480285288797288,0.0,0.0,1.0,0.0,False
damping_ratio,0.04785227396201252,0.0,0.0,1.0,0.0,False
spectral_flatness,0.04494073391682573,0.0,0.0,1.0,0.0,False
resonance_high_ratio,0.024456101005825848,0.0,0.0,1.0,0.0,False
high_freq_slope,0.022567579495951305,0.0,0.0,1.0,0.0,False
env_mean,0.011610955679132437,0.0,0.0,1.0,0.0,False
high_freq_decay_rate,0.009929899803588233,0.0,0.0,1.0,0.0,False
env_skew,0.005473866022720804,0.0,0.0,1.0,0.0,False
env_min,0.0034595483237623093,0.0,0.0,1.0,0.0,False
temporal_centroid,0.0031184082275176467,0.0,0.0,1.0,0.0,False
zero_crossing_rate,0.0025030632914474133,0.0,0.0,1.0,0.0,False
spectral_contrast_3,0.0020961762867559687,0.0,0.0,1.0,0.0,False
resonance_energy,0.001993882277213926,0.0,0.0,1.0,0.0,False
low_energy_ratio,0.00196917460826109,0.0,0.0,1.0,0.0,False
env_max,0.001960805534454579,0.0,0.0,1.0,0.0,False
spectral_contrast_2,0.0016604545957905304,0.0,0.0,1.0,0.0,False
spectral_contrast_0,0.001656017064399411,0.0,0.0,1.0,0.0,False
spectral_contrast_4,0.0014604139178509845,0.0,0.0,1.0,0.0,False
env_std,0.0014371986416807528,0.0,0.0,1.0,0.0,False
resonance_energy_ratio,0.0011336258322339982,0.0,0.0,1.0,0.0,False
spectral_contrast_1,0.0011092114361767214,0.0,0.0,1.0,0.0,False
resonance_q_factor,0.0009277746038428004,0.0,0.0,1.0,0.0,False
resonance_skewness,0.000856072451229003,0.0,0.0,1.0,0.0,False
env_decay_rate,0.0008111873644368996,0.0,0.0,1.0,0.0,False
burst_crest_factor,0.0008096471843328506,0.0,0.0,1.0,0.0,False
burst_rms,0.0007920971087487248,0.0,0.0,1.0,0.0,False
resonance_peak_freq,0.0007912541629475316,0.0,0.0,1.0,0.0,False
burst_peak,0.0007302907765157382,0.0,0.0,1.0,0.0,False
resonance_peak_amp,0.0006200115521949174,0.0,0.0,1.0,0.0,False
time_to_peak,0.00038994498990321016,0.0,0.0,1.0,0.0,False
env_kurtosis,0.0003102080772362707,0.0,0.0,1.0,0.0,False
spectral_rolloff,0.0,0.0,0.0,1.0,0.0,False
